,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Cat
12,Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,EA Canada,E,Sports
13,Just Dance 4,Wii,2012.0,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,Ubisoft,E10+,Puzzle
14,FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0,EA Canada,E,Sports
15,Assassin's Creed III,PS3,2012.0,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0,Ubisoft,M,Action
16,Super Mario Sunshine,GC,2002.0,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439.0,Nintendo,E,Adventure
17,Assassin's Creed II,PS3,2009.0,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1202.0,Ubisoft Montreal,M,Action
18,Assassin's Creed,X360,2007.0,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81.0,77.0,7.7,1074.0,Ubisoft Montreal,M,Adventure
19,Assassin's Creed III,X360,2012.0,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.7,1196.0,Ubisoft,M,Action
20,Assassin's Creed II,X360,2009.0,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,90.0,82.0,8.8,1305.0,Ubisoft Montreal,M,Action
21,FIFA Soccer 13,X360,2012.0,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90.0,48.0,6.1,403.0,Electronic Arts,E,Action
22,FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89.0,51.0,8,233.0,EA Sports,E,Sports
23,Link's Crossbow Training,Wii,2007.0,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98,68.0,34.0,7.1,47.0,Nintendo,T,Action
24,Madden NFL 06,PS2,2005.0,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88.0,29.0,8,121.0,EA Sports,E,Sports
25,Assassin's Creed,PS3,2007.0,Adventure,Ubisoft,1.91,2.0,0.09,0.82,4.82,81.0,40.0,7.3,769.0,Ubisoft Montreal,M,Adventure
26,Animal Crossing: City Folk,Wii,2008.0,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.62,73.0,50.0,7.6,119.0,Nintendo,E,Strategy
27,The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,96.0,80.0,8.9,968.0,Nintendo,E,Action
28,Madden NFL 2005,PS2,2004.0,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,91.0,30.0,7.9,78.0,EA Tiburon,E,Sports
29,Madden NFL 07,PS2,2006.0,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,84.0,29.0,8.2,39.0,EA Sports,E,Sports
30,Need for Speed: Most Wanted,PS2,2005.0,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37,82.0,36.0,9.1,137.0,EA Canada,T,Sports
31,Assassin's Creed: Revelations,PS3,2011.0,Action,Ubisoft,1.41,2.01,0.1,0.7,4.22,80.0,39.0,7.5,613.0,Ubisoft Montreal,M,Action
32,FIFA 14,X360,2013.0,Sports,Electronic Arts,0.92,2.89,0.01,0.4,4.22,84.0,41.0,4.2,435.0,EA Canada,E,Sports
33,FIFA Soccer 06,PS2,2005.0,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21,80.0,32.0,7.8,47.0,EA Canada,E,Sports
34,Assassin's Creed: Revelations,X360,2011.0,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19,80.0,77.0,7.2,564.0,Ubisoft Montreal,M,Action
35,Madden NFL 2003,PS2,2002.0,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14,95.0,25.0,7.7,65.0,EA Sports,E,Sports
36,The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,Nintendo,2.03,1.16,0.37,0.38,3.95,93.0,81.0,8,1958.0,Nintendo,E10+,Action
37,EA Sports Active,Wii,2009.0,Sports,Electronic Arts,2.09,1.35,0.06,0.4,3.9,81.0,27.0,8.7,39.0,EA Canada,E,Sports
38,Big Brain Academy: Wii Degree,Wii,2007.0,Misc,Nintendo,1.05,1.91,0.41,0.42,3.79,68.0,33.0,6.9,39.0,Nintendo,E,Puzzle
39,Assassin's Creed IV: Black Flag,PS3,2013.0,Action,Ubisoft,1.33,1.68,0.13,0.57,3.71,88.0,36.0,8.1,840.0,Ubisoft,M,Action
40,FIFA Soccer 2005,PS2,2004.0,Sports,Electronic Arts,0.58,2.48,0.04,0.59,3.7,81.0,27.0,7.6,56.0,EA Canada,E,Sports
41,FIFA Soccer 10,PS3,2009.0,Sports,Electronic Arts,0.6,2.45,0.05,0.52,3.62,91.0,56.0,7.6,203.0,EA Sports,E,Sports
42,Luigi's Mansion,GC,2001.0,Action,Nintendo,2.38,0.67,0.46,0.1,3.6,78.0,34.0,8.5,161.0,Nintendo,E,Action
43,FIFA Soccer 11,X360,2010.0,Sports,Electronic Arts,0.71,2.39,0.02,0.4,3.52,88.0,66.0,7.5,155.0,EA Sports,E,Sports
44,Assassin's Creed: Brotherhood,X360,2010.0,Action,Ubisoft,2.85,0.38,0.03,0.24,3.49,89.0,81.0,8.3,693.0,Ubisoft Montreal,M,Action
45,FIFA Soccer 2003,PS2,2002.0,Sports,Electronic Arts,0.46,2.28,0.05,0.61,3.4,88.0,15.0,6.7,35.0,EA Canada,E,Sports
46,Far Cry 3,PS3,2012.0,Shooter,Ubisoft,0.88,1.7,0.1,0.67,3.35,90.0,32.0,8.5,1041.0,Ubisoft Montreal,M,Action
47,Assassin's Creed IV: Black Flag,X360,2013.0,Action,Ubisoft,1.9,1.11,0.01,0.29,3.3,86.0,35.0,7.9,701.0,Ubisoft,M,Action
48,Wii Music,Wii,2008.0,Misc,Nintendo,1.35,1.11,0.46,0.32,3.25,63.0,43.0,4.6,116.0,Nintendo,E,Puzzle
49,Animal Crossing,GC,2001.0,Simulation,Nintendo,1.92,0.16,0.99,0.09,3.15,87.0,42.0,8.9,137.0,Nintendo,E,Strategy
50,FIFA Soccer 08,PS2,2007.0,Sports,Electronic Arts,0.68,0.0,0.0,2.46,3.14,83.0,12.0,6.5,36.0,EA Canada,E,Sports
51,Madden NFL 2002,PS2,2001.0,Sports,Electronic Arts,2.5,0.16,0.01,0.42,3.08,94.0,23.0,7.9,46.0,EA Sports,E,Sports
52,Tom Clancy's Splinter Cell,XB,2002.0,Action,Ubisoft,1.85,1.04,0.0,0.13,3.02,93.0,46.0,8.5,121.0,Ubisoft Montreal,T,Action
53,Far Cry 3,X360,2012.0,Shooter,Ubisoft,1.38,1.32,0.02,0.28,3.0,91.0,39.0,8.6,1247.0,Ubisoft Montreal,M,Action
54,NBA 2K13,X360,2012.0,Sports,Take-Two Interactive,2.6,0.2,0.01,0.19,3.0,88.0,41.0,7.2,131.0,Visual Concepts,E,Sports
55,Madden NFL 13,X360,2012.0,Sports,Electronic Arts,2.53,0.15,0.0,0.17,2.86,81.0,36.0,5.8,179.0,EA Tiburon,E,Sports
56,Madden NFL 10,X360,2009.0,Sports,Electronic Arts,2.52,0.09,0.0,0.22,2.83,85.0,58.0,6.1,90.0,EA Tiburon,E,Sports
57,Assassin's Creed: Brotherhood,PS3,2010.0,Action,Ubisoft,1.87,0.55,0.11,0.29,2.82,90.0,59.0,8.2,791.0,Ubisoft Montreal,M,Action
58,Madden NFL 12,X360,2011.0,Sports,Electronic Arts,2.42,0.11,0.0,0.16,2.69,78.0,55.0,5.9,94.0,EA Tiburon,E,Sports
59,Madden NFL 11,X360,2010.0,Sports,Electronic Arts,2.38,0.12,0.0,0.18,2.69,84.0,47.0,5.7,120.0,EA Tiburon,E,Sports
60,ESPN NFL 2K5,PS2,2004.0,Sports,Sega,2.15,0.12,0.0,0.36,2.62,90.0,37.0,8.2,84.0,Visual Concepts,E,Sports
61,NBA 2K12,X360,2011.0,Sports,Take-Two Interactive,2.31,0.14,0.01,0.16,2.62,90.0,42.0,7.7,134.0,Visual Concepts,E,Sports
62,FIFA Soccer 10,X360,2009.0,Sports,Electronic Arts,0.59,1.79,0.01,0.23,2.62,90.0,63.0,7.5,133.0,EA Sports,E,Sports
63,Harry Potter and the Chamber of Secrets,PS2,2002.0,Action,Electronic Arts,0.9,1.22,0.04,0.44,2.61,71.0,16.0,7.6,49.0,Electronic Arts,E,Action
64,NBA Live 2005,PS2,2004.0,Sports,Electronic Arts,2.03,0.21,0.0,0.35,2.59,84.0,21.0,8.1,44.0,EA Canada,E,Sports
65,FIFA Soccer 09,PS3,2008.0,Sports,Electronic Arts,0.48,1.63,0.04,0.43,2.58,87.0,42.0,7.5,108.0,EA Canada,E,Sports
66,Madden NFL 08,PS2,2007.0,Sports,Electronic Arts,2.14,0.08,0.0,0.35,2.57,78.0,11.0,7.8,17.0,EA Tiburon,E,Sports
67,Madden NFL 13,PS3,2012.0,Sports,Electronic Arts,2.11,0.22,0.0,0.23,2.56,83.0,22.0,5.5,101.0,EA Tiburon,E,Sports
68,Madden NFL 09,X360,2008.0,Sports,Electronic Arts,2.21,0.12,0.0,0.2,2.53,83.0,50.0,7,125.0,EA Tiburon,E,Sports
69,NBA 2K14,X360,2013.0,Sports,Take-Two Interactive,2.1,0.19,0.0,0.23,2.52,87.0,23.0,4.9,150.0,Visual Concepts,E,Sports
70,NBA 2K13,PS3,2012.0,Sports,Take-Two Interactive,1.73,0.43,0.05,0.27,2.47,90.0,26.0,8,99.0,Visual Concepts,E,Sports
71,Tom Clancy's Rainbow Six: Vegas 2,X360,2008.0,Shooter,Ubisoft,1.56,0.6,0.02,0.23,2.42,82.0,66.0,7.8,176.0,Ubisoft Montreal,M,Action
72,Need for Speed Carbon: Own the City,PSP,2006.0,Racing,Electronic Arts,0.87,0.97,0.0,0.58,2.42,73.0,14.0,7.9,39.0,EA Canada,E10+,Sports
73,Madden NFL 11,PS3,2010.0,Sports,Electronic Arts,2.04,0.15,0.0,0.2,2.38,83.0,36.0,6.1,68.0,EA Tiburon,E,Sports
74,Madden NFL 08,X360,2007.0,Sports,Electronic Arts,2.18,0.01,0.0,0.18,2.37,85.0,46.0,6.4,108.0,EA Tiburon,E,Sports
75,Madden NFL 10,PS3,2009.0,Sports,Electronic Arts,2.03,0.13,0.0,0.21,2.37,85.0,41.0,6.8,58.0,EA Tiburon,E,Sports
76,Need for Speed Underground 2,XB,2004.0,Racing,Electronic Arts,1.38,0.8,0.0,0.1,2.28,77.0,35.0,8.7,27.0,EA Canada,E,Sports
77,FIFA Soccer 09,PS2,2008.0,Sports,Electronic Arts,0.38,0.07,0.01,1.82,2.28,82.0,8.0,6.9,20.0,EA Canada,E,Sports
78,Madden NFL 12,PS3,2011.0,Sports,Electronic Arts,1.93,0.15,0.0,0.17,2.25,79.0,31.0,5.5,56.0,EA Tiburon,E,Sports
79,Madden NFL 25,X360,2013.0,Sports,Electronic Arts,1.98,0.06,0.0,0.19,2.23,80.0,32.0,5.6,136.0,EA Sports,E,Sports
80,Prince of Persia: The Sands of Time,PS2,2003.0,Action,Ubisoft,0.88,1.03,0.0,0.31,2.22,92.0,44.0,8.8,204.0,Ubisoft,T,Action
81,Your Shape featuring Jenny McCarthy,Wii,2009.0,Sports,Ubisoft,1.49,0.46,0.0,0.18,2.12,62.0,5.0,5.2,54.0,Ubisoft,E,Sports
82,NBA 2K12,PS3,2011.0,Sports,Take-Two Interactive,1.62,0.26,0.05,0.18,2.11,90.0,38.0,6.7,127.0,Visual Concepts,E,Sports
83,NBA 2K14,PS3,2013.0,Sports,Take-Two Interactive,1.44,0.31,0.04,0.32,2.11,84.0,26.0,4.9,142.0,Visual Concepts,E,Sports
84,NBA 2K11,X360,2010.0,Action,Take-Two Interactive,1.84,0.12,0.01,0.13,2.09,89.0,50.0,8.1,100.0,Visual Concepts,E,Action
85,Need for Speed: Most Wanted 5-1-0,PSP,2005.0,Racing,Electronic Arts,1.77,0.12,0.02,0.17,2.07,72.0,21.0,7.8,54.0,EA Canada,E10+,Sports
86,NBA Live 2004,PS2,2003.0,Sports,Electronic Arts,1.57,0.18,0.0,0.27,2.03,86.0,19.0,7.7,41.0,EA Sports,E,Sports
87,Just Dance 3,X360,2011.0,Misc,Ubisoft,1.47,0.39,0.0,0.16,2.02,70.0,34.0,7.7,17.0,Ubisoft,E10+,Puzzle
88,Tom Clancy's Rainbow Six: Vegas,X360,2006.0,Shooter,Ubisoft,1.09,0.65,0.02,0.2,1.95,88.0,69.0,8.3,225.0,Ubisoft Montreal,M,Action
89,NBA Street Vol. 2,PS2,2003.0,Sports,Electronic Arts,1.69,0.2,0.0,0.06,1.95,90.0,31.0,8.8,70.0,Electronic Arts,E,Sports
90,FIFA Soccer 09,X360,2008.0,Sports,Electronic Arts,0.49,1.26,0.01,0.18,1.94,87.0,51.0,8,106.0,EA Canada,E,Sports
91,Tom Clancy's Ghost Recon,PS2,2002.0,Shooter,Ubisoft,1.42,0.4,0.0,0.12,1.94,63.0,18.0,8.3,22.0,Ubisoft,M,Action
92,Monopoly,Wii,2008.0,Misc,Electronic Arts,0.86,0.83,0.0,0.2,1.89,70.0,11.0,7.8,17.0,Electronic Arts,E,Puzzle
93,Madden NFL 09,PS3,2008.0,Sports,Electronic Arts,1.56,0.14,0.0,0.18,1.88,85.0,38.0,4.4,132.0,EA Tiburon,E,Sports
94,Madden NFL 25,PS3,2013.0,Sports,Electronic Arts,1.6,0.03,0.0,0.24,1.87,76.0,19.0,4.1,91.0,EA Sports,E,Sports
95,Madden NFL 06,XB,2005.0,Sports,Electronic Arts,1.75,0.03,0.0,0.08,1.86,86.0,39.0,6.7,41.0,EA Sports,E,Sports
96,NBA Live 2002,PS2,2001.0,Sports,Electronic Arts,0.91,0.71,0.0,0.24,1.86,70.0,16.0,7.4,8.0,Electronic Arts,E,Sports
97,NCAA Football 06,PS2,2005.0,Sports,Electronic Arts,1.53,0.05,0.0,0.25,1.84,87.0,25.0,8.5,36.0,EA Sports,E,Sports
98,Madden NFL 07,X360,2006.0,Sports,Electronic Arts,1.66,0.0,0.01,0.13,1.8,80.0,54.0,6,148.0,EA Tiburon,E,Sports
99,NBA 2K11,PS3,2010.0,Action,Take-Two Interactive,1.41,0.2,0.03,0.16,1.8,89.0,46.0,7.6,105.0,Visual Concepts,E,Action
100,FIFA Soccer 08,PS3,2007.0,Sports,Electronic Arts,0.35,1.06,0.02,0.31,1.75,81.0,28.0,7.1,47.0,EA Canada,E,Sports
101,SSX Tricky,PS2,2001.0,Sports,Electronic Arts,0.85,0.66,0.0,0.22,1.73,92.0,33.0,8.9,71.0,EA Canada,E,Sports
102,Madden NFL 2005,XB,2004.0,Sports,Electronic Arts,1.61,0.03,0.0,0.08,1.72,91.0,39.0,7.6,26.0,EA Tiburon,E,Sports
103,Need for Speed Underground,XB,2003.0,Racing,Electronic Arts,1.09,0.55,0.0,0.07,1.71,83.0,25.0,8.7,35.0,Electronic Arts,E,Sports
104,NCAA Football 07,PS2,2006.0,Sports,Electronic Arts,1.41,0.05,0.0,0.23,1.7,87.0,18.0,8.6,23.0,EA Sports,E,Sports
105,SSX 3,PS2,2003.0,Sports,Electronic Arts,0.93,0.52,0.0,0.22,1.67,93.0,41.0,9.1,125.0,EA Canada,E,Sports
106,NCAA Football 2004,PS2,2003.0,Sports,Electronic Arts,1.35,0.09,0.0,0.23,1.67,94.0,15.0,8.8,81.0,EA Sports,E,Sports
107,Shaun White Snowboarding: Road Trip,Wii,2008.0,Sports,Ubisoft,0.93,0.56,0.0,0.16,1.66,78.0,28.0,8.7,22.0,Ubisoft,E10+,Sports
108,NBA Live 2003,PS2,2002.0,Sports,Electronic Arts,1.25,0.15,0.03,0.22,1.66,83.0,22.0,8.3,28.0,EA Canada,E,Sports
109,Need for Speed Carbon,X360,2006.0,Racing,Electronic Arts,0.76,0.69,0.02,0.18,1.65,77.0,52.0,6.3,82.0,EA Canada,E10+,Sports
110,Tiger Woods PGA Tour 2003,PS2,2002.0,Sports,Electronic Arts,0.8,0.63,0.0,0.21,1.64,88.0,18.0,8.9,18.0,EA Sports,E,Sports
111,Prince of Persia: Warrior Within,PS2,2004.0,Action,Ubisoft,0.54,0.88,0.0,0.22,1.64,83.0,51.0,8.5,120.0,Ubisoft Montreal,M,Action
112,ESPN NFL 2K5,XB,2004.0,Sports,Sega,1.54,0.02,0.0,0.07,1.63,92.0,42.0,9.1,93.0,Visual Concepts,E,Sports
113,Pikmin,GC,2001.0,Strategy,Nintendo,0.78,0.25,0.56,0.04,1.63,89.0,39.0,8.7,121.0,Nintendo,E,Strategy
114,Tiger Woods PGA Tour 2004,PS2,2003.0,Sports,Electronic Arts,1.18,0.34,0.0,0.1,1.63,89.0,23.0,8.8,40.0,EA Sports,E,Sports
115,NCAA Football 2005,PS2,2004.0,Sports,Electronic Arts,1.32,0.09,0.0,0.22,1.62,88.0,29.0,8.8,35.0,EA Tiburon,E,Sports
116,NFL Street 2,PS2,2004.0,Sports,Electronic Arts,0.79,0.62,0.0,0.21,1.61,77.0,33.0,8.7,20.0,EA Tiburon,E,Sports
117,Far Cry 2,X360,2008.0,Action,Ubisoft,0.71,0.69,0.02,0.18,1.59,85.0,75.0,6.7,288.0,Ubisoft Montreal,M,Action
118,The Legend of Zelda: Twilight Princess,GC,2006.0,Action,Nintendo,1.15,0.36,0.04,0.04,1.59,96.0,16.0,9.2,568.0,Nintendo,T,Action
119,NCAA Football 2002,PS2,2001.0,Sports,Electronic Arts,0.77,0.6,0.0,0.2,1.57,90.0,18.0,8.7,24.0,EA Sports,E,Sports
120,Need for Speed: Most Wanted,X360,2012.0,Racing,Electronic Arts,0.62,0.78,0.01,0.15,1.56,83.0,54.0,8.5,134.0,EA Canada,T,Sports
121,Tom Clancy's Rainbow Six 3,XB,2003.0,Shooter,Ubisoft,0.91,0.57,0.0,0.07,1.55,86.0,39.0,8.5,31.0,Ubisoft,M,Action
122,MVP Baseball 2005,PS2,2005.0,Sports,Electronic Arts,1.26,0.07,0.0,0.21,1.54,87.0,25.0,8.6,47.0,EA Sports,E,Sports
123,Fight Night Round 4,PS3,2009.0,Fighting,Electronic Arts,0.92,0.4,0.0,0.2,1.52,88.0,46.0,7.6,95.0,EA Canada,T,Sports
124,The Simpsons Game,PS2,2007.0,Action,Electronic Arts,0.35,0.03,0.0,1.13,1.51,68.0,10.0,8.2,27.0,Electronic Arts,T,Action
125,Madden NFL 2001,PS2,2000.0,Sports,Electronic Arts,1.19,0.07,0.05,0.2,1.5,91.0,25.0,7.7,7.0,EA Sports,E,Sports
126,Madden NFL 09,PS2,2008.0,Sports,Electronic Arts,1.22,0.0,0.0,0.27,1.49,67.0,4.0,7,24.0,EA Tiburon,E,Sports
127,Fight Night 2004,PS2,2004.0,Fighting,Electronic Arts,1.08,0.2,0.0,0.2,1.48,85.0,43.0,9,25.0,EA Sports,T,Sports
128,Tiger Woods PGA Tour 2005,PS2,2004.0,Sports,Electronic Arts,1.03,0.32,0.0,0.09,1.44,88.0,30.0,8.2,20.0,EA Sports,E,Sports
129,NCAA Football 2003,PS2,2002.0,Sports,Electronic Arts,1.16,0.08,0.0,0.19,1.44,91.0,19.0,8.6,27.0,EA Sports,E,Sports
130,NFL Street,PS2,2004.0,Sports,Electronic Arts,1.15,0.08,0.0,0.19,1.42,80.0,36.0,8.9,45.0,EA Tiburon,E,Sports
131,Tiger Woods PGA Tour 09 All-Play,Wii,2008.0,Sports,Electronic Arts,0.8,0.47,0.0,0.14,1.42,81.0,18.0,8.7,34.0,EA Tiburon,E,Sports
132,NASCAR 2005: Chase for the Cup,PS2,2004.0,Racing,Electronic Arts,0.69,0.54,0.0,0.18,1.41,87.0,19.0,8.4,15.0,EA Tiburon,E,Sports
133,Fight Night Round 4,X360,2009.0,Fighting,Electronic Arts,0.95,0.33,0.0,0.13,1.4,87.0,76.0,8.1,86.0,EA Canada,T,Sports
134,Far Cry 2,PS3,2008.0,Action,Ubisoft,0.43,0.69,0.01,0.26,1.38,85.0,49.0,6.4,241.0,Ubisoft Montreal,M,Action
135,Hasbro Family Game Night 2,Wii,2009.0,Misc,Electronic Arts,0.7,0.52,0.0,0.13,1.35,63.0,16.0,6.3,6.0,Electronic Arts,E,Puzzle
136,FIFA Soccer 08,PSP,2007.0,Sports,Electronic Arts,0.2,0.76,0.0,0.39,1.35,79.0,7.0,7.4,15.0,EA Canada,E,Sports
137,FIFA Soccer 09,PSP,2008.0,Sports,Electronic Arts,0.23,0.73,0.02,0.37,1.35,84.0,8.0,8.9,21.0,EA Canada,E,Sports
138,FIFA Soccer 08,X360,2007.0,Sports,Electronic Arts,0.31,0.89,0.01,0.14,1.35,82.0,43.0,7.9,57.0,EA Canada,E,Sports
139,Tom Clancy's Rainbow Six: Vegas 2,PS3,2008.0,Shooter,Ubisoft,0.66,0.44,0.04,0.21,1.34,81.0,32.0,7.9,93.0,Ubisoft Montreal,M,Action
140,Donkey Kong Jungle Beat,GC,2004.0,Platform,Nintendo,0.84,0.22,0.24,0.04,1.34,80.0,49.0,8.3,30.0,Nintendo,E10+,Adventure
141,Need for Speed Carbon,PS2,2006.0,Racing,Electronic Arts,1.22,0.05,0.05,0.01,1.34,74.0,26.0,8.4,60.0,EA Canada,E10+,Sports
142,MVP Baseball 2004,PS2,2004.0,Sports,Electronic Arts,1.1,0.06,0.0,0.18,1.34,90.0,28.0,8.6,51.0,EA Sports,E,Sports
143,Your Shape: Fitness Evolved,X360,2010.0,Sports,Ubisoft,0.79,0.41,0.0,0.11,1.32,73.0,32.0,7.5,25.0,Ubisoft Montreal,E,Sports
144,NBA Live 07,PS2,2006.0,Sports,Electronic Arts,1.07,0.04,0.02,0.17,1.3,63.0,12.0,6,39.0,EA Sports,E,Sports
145,EA Playground,Wii,2007.0,Sports,Electronic Arts,0.68,0.47,0.0,0.13,1.29,66.0,32.0,7.6,30.0,EA Canada,E,Sports
146,Need for Speed Carbon,Wii,2006.0,Racing,Electronic Arts,0.45,0.66,0.02,0.15,1.28,67.0,21.0,7.3,26.0,EA Canada,E10+,Sports
147,NBA 2K9,X360,2008.0,Sports,Take-Two Interactive,1.0,0.16,0.0,0.11,1.27,84.0,32.0,7.2,44.0,Visual Concepts,E,Sports
148,EA Sports Active 2,Wii,2010.0,Sports,Electronic Arts,0.76,0.39,0.0,0.11,1.26,79.0,8.0,8.1,22.0,EA Canada,E,Sports
149,Need for Speed: Most Wanted,X360,2005.0,Racing,Electronic Arts,1.0,0.13,0.02,0.1,1.25,83.0,54.0,8.5,134.0,EA Canada,T,Sports
150,Tom Clancy's Rainbow Six: Vegas,PS3,2007.0,Shooter,Ubisoft,0.47,0.53,0.03,0.22,1.25,86.0,32.0,7.6,81.0,Ubisoft Montreal,M,Action
151,FIFA Street,PS3,2012.0,Sports,Electronic Arts,0.12,0.89,0.0,0.23,1.23,76.0,36.0,6.4,66.0,EA Sports,E,Sports
152,Need for Speed Carbon,PS3,2006.0,Racing,Electronic Arts,0.49,0.5,0.03,0.2,1.23,75.0,31.0,7.3,42.0,EA Canada,E10+,Sports
153,2010 FIFA World Cup South Africa,PS3,2010.0,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23,82.0,56.0,7.8,57.0,EA Canada,E,Sports
154,NBA 2K2,PS2,2002.0,Sports,Sega,0.59,0.46,0.01,0.15,1.22,89.0,19.0,7.8,16.0,Visual Concepts,E,Sports
155,Need for Speed Underground,GC,2003.0,Racing,Electronic Arts,0.69,0.48,0.01,0.03,1.21,83.0,24.0,9,45.0,Electronic Arts,E,Sports
156,Medal of Honor: Airborne,PS3,2007.0,Shooter,Electronic Arts,0.25,0.69,0.03,0.25,1.21,75.0,16.0,7.6,39.0,Electronic Arts,T,Action
157,Pikmin 2,GC,2004.0,Strategy,Nintendo,0.48,0.13,0.56,0.03,1.2,90.0,54.0,9.1,137.0,Nintendo,E,Strategy
158,NHL 2002,PS2,2001.0,Sports,Electronic Arts,0.59,0.46,0.0,0.15,1.2,92.0,22.0,8.5,26.0,EA Sports,E,Sports
159,FIFA Soccer 11,PSP,2010.0,Sports,Electronic Arts,0.13,0.69,0.01,0.36,1.2,68.0,6.0,5.4,9.0,EA Sports,E,Sports
160,Just Dance 4,X360,2012.0,Misc,Ubisoft,0.9,0.19,0.0,0.09,1.18,77.0,23.0,7.7,36.0,Ubisoft,E10+,Puzzle
161,NASCAR Thunder 2002,PS2,2001.0,Racing,Electronic Arts,0.57,0.44,0.0,0.15,1.16,85.0,17.0,8.5,22.0,EA Sports,E,Sports
162,Your Shape: Fitness Evolved 2012,X360,2011.0,Sports,Ubisoft,0.7,0.36,0.0,0.1,1.16,77.0,13.0,7.6,21.0,Ubisoft,E,Sports
163,FIFA Soccer 10,PSP,2009.0,Sports,Electronic Arts,0.15,0.67,0.01,0.31,1.15,83.0,9.0,7.9,14.0,EA Sports,E,Sports
164,Tom Clancy's Rainbow Six 3: Black Arrow,XB,2004.0,Shooter,Ubisoft,0.99,0.12,0.0,0.02,1.13,84.0,55.0,8.6,14.0,Ubisoft Montreal,M,Action
165,Rocksmith,PS3,2011.0,Misc,Ubisoft,0.53,0.36,0.09,0.15,1.12,80.0,27.0,8.3,52.0,Ubisoft,T,Puzzle
